gene_name,n_or_p,experiment_id,nutrient,organism_name,match_type,locus_tag,status,log2fc,padj,timepoint
unkP3,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0717,not_significant,1.4771207844965373,0.0870689361567574,
unkP4,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM1880,not_significant,-0.2895349227917884,0.7074523000766008,
unkP5,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0720,not_significant,1.33742355234521,0.2027049486218243,
PMM719,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0719,significant_up,1.3137504893600755,0.014588162129705,
PMM722,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0722,not_significant,0.0253221449039458,0.9320097489872556,
phnD,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0673,significant_down,-2.623674416917959,1.3642816337334062e-08,
ppA,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0494,significant_down,-3.307073447134965,7.737338187839411e-17,
ppK,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM1696,not_significant,-0.4784833685675551,0.1009217159471363,
ppX,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0457,significant_down,-2.856994119628256,3.511025554920968e-12,
pstA,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0724,not_significant,0.5310290241001295,0.1438749914225376,
pstB,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0725,not_significant,0.2433827470452027,0.4989797602136759,
pstC,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0723,significant_up,1.500045585361813,0.0001583806782874,
pstS,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0710,significant_down,-4.460025089868583,1.43757727559003e-17,
sqdB,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM1665,significant_down,-1.6283751166646971,5.639834897761834e-09,
phnC,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0672,not_significant,-0.3696371204325545,0.640575155228824,
phnE,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM0671,not_significant,-0.0290448204006992,0.9358312847188625,
PsiP1,P,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen,Prochlorococcus MED4,cross,PMM1416,significant_up,1.970895472990316,1.9916277893498282e-07,
nadB2,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,24h
natF,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,24h
natG,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,24h
natH,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,24h
focA,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,24h
nirA,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,24h
nirX,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,24h
gdhA,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,,no_locus_in_strain,,,24h
amtB/amt1,N,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,Prochlorococcus MED4,matched,PMM0263,not_significant,2.26,1.0,24h
