n_or_p,gene_name_raw,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,5.7284866494887,0.01,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,5.37087883412763,0.01,significant_up
N,cynA,Prochlorococcus MED4,PMM0370,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,5.158630264411528,6.899092611446335e-10,significant_up
N,glnA,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,5.06051169137151,0.01,significant_up
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,4.58350176619516,0.01,significant_up
P,pstS,Prochlorococcus MED4,PMM0710,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,-4.460025089868583,1.43757727559003e-17,significant_down
N,ntcA,Prochlorococcus MED4,PMM0246,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,4.45086478182776,0.01,significant_up
P,PMM722,Prochlorococcus MED4,PMM0722,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,4.32,0.0,significant_up
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,4.30854281269086,0.01,significant_up
N,cynB,Prochlorococcus MED4,PMM0371,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,4.279566443092617,2.9550592954568683e-10,significant_up
P,arsR,Prochlorococcus MED4,PMM0714,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,4.268064080975516,3.0605134169689046e-17,significant_up
N,glnA,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,4.14177961834331,0.01,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,4.07,0.0,significant_up
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,4.06454932416169,0.01,significant_up
P,pstS,Prochlorococcus MED4,PMM0710,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,-4.0,0.0,significant_down
N,glnA,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,3.92174594063168,0.01,significant_up
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,3.91380620805672,0.01,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,3.90870782237566,0.01,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,3.86942338221993,0.01,significant_up
N,amtB/amt1,Prochlorococcus MED4,PMM0263,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,3.8635086439112745,7.801311428232697e-10,significant_up
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,3.85,0.0,significant_up
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,3.84,0.0,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,3.8347661783105,0.01,significant_up
N,glnA,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,3.79888923224975,0.01,significant_up
N,glnA,Prochlorococcus MED4,PMM0920,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,3.75973171772578,0.01,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,3.75015994971883,0.01,significant_up
N,amtB/amt1,Prochlorococcus MED4,PMM0263,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,3.67,0.02,significant_up
N,ntcA,Prochlorococcus MED4,PMM0246,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,3.58713213602702,2.48270602762731e-07,significant_up
N,cynS,Prochlorococcus MED4,PMM0373,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,3.49,0.0,significant_up
N,glnA,Prochlorococcus MED4,PMM0920,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,3.3569768863566645,7.395965792256581e-06,significant_up
N,ntcA,Prochlorococcus MED4,PMM0246,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,3.352117316421244,1.0044699427936916e-05,significant_up
P,ppA,Prochlorococcus MED4,PMM0494,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,-3.307073447134965,7.737338187839411e-17,significant_down
P,phnD,Prochlorococcus MED4,PMM0673,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,-3.18140761057536,2.49799626876073e-06,significant_down
N,ureD,Prochlorococcus MED4,PMM0966,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-3.171026598,1.0,not_significant
N,ureD,Prochlorococcus MED4,PMM0966,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-3.082907367,1.0,not_significant
N,ureA,Prochlorococcus MED4,PMM0965,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,3.08,0.0,significant_up
P,pstS,Prochlorococcus MED4,PMM0710,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,-3.05,0.0,significant_down
N,ntcA,Prochlorococcus MED4,PMM0246,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,3.038840754,1.0,not_significant
N,ntcA,Prochlorococcus MED4,PMM0246,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,3.01927772296539,0.01,significant_up
N,cynD,Prochlorococcus MED4,PMM0372,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,2.981071492685053,2.4777048908969736e-11,significant_up
P,pstS,Prochlorococcus MED4,PMM0710,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-2.93625743923476,0.01,significant_down
P,ppX,Prochlorococcus MED4,PMM0457,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,-2.856994119628256,3.511025554920968e-12,significant_down
N,glnA,Prochlorococcus MED4,PMM0920,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,2.85,0.0,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,2.8,0.01,significant_up
N,ntcA,Prochlorococcus MED4,PMM0246,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,2.67964712778727,2.53352928604394e-06,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,2.6694942279740563,0.0001935099423896,significant_up
N,cynB,Prochlorococcus MED4,PMM0371,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,2.65,0.0,significant_up
P,phnD,Prochlorococcus MED4,PMM0673,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,-2.623674416917959,1.3642816337334062e-08,significant_down
N,ureA,Prochlorococcus MED4,PMM0965,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,2.6,0.0,significant_up
P,PMM721,Prochlorococcus MED4,PMM0721,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-2.58077234,1.0,not_significant
N,glsF,Prochlorococcus MED4,PMM1512,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,2.529728484721897,6.0856483158426845e-09,significant_up
N,glnA,Prochlorococcus MED4,PMM0920,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,2.52888647715251,3.51988774237846e-06,significant_up
P,pstA,Prochlorococcus MED4,PMM0035,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,2.51758257548015,1.79307718819133e-07,significant_up
N,glnA,Prochlorococcus MED4,PMM0920,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,2.45,0.0,significant_up
N,cynB,Prochlorococcus MED4,PMM0371,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,2.37248468438192,0.01,significant_up
N,ureB,Prochlorococcus MED4,PMM0964,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,2.37,0.01,significant_up
N,ureD,Prochlorococcus MED4,PMM0966,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,2.36,0.02,significant_up
N,ureB,Prochlorococcus MED4,PMM0964,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,2.33,0.0,significant_up
N,cynB,Prochlorococcus MED4,PMM0371,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,2.28110125476454,0.01,significant_up
N,amtB/amt1,Prochlorococcus MED4,PMM0263,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,2.27,1.0,not_significant
N,ureA,Prochlorococcus MED4,PMM0965,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,2.264438881479556,0.0002324155619118,significant_up
N,amtB/amt1,Prochlorococcus MED4,PMM0263,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,2.26,1.0,not_significant
P,phnD,Prochlorococcus MED4,PMM0673,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-2.18655218002584,0.01,significant_down
N,cynD,Prochlorococcus MED4,PMM0372,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,2.17991366596472,0.01,significant_up
N,ntcA,Prochlorococcus MED4,PMM0246,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,2.17,0.0,significant_up
N,ntcA,Prochlorococcus MED4,PMM0246,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-2.166458145,1.0,not_significant
P,PMM721,Prochlorococcus MED4,PMM0721,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,-2.158047064,1.0,not_significant
P,pstA,Prochlorococcus MED4,PMM0035,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,2.13560390472412,8.65135358427306e-07,significant_up
N,glnA,Prochlorococcus MED4,PMM0920,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,2.12048435211182,8.88446794862496e-05,significant_up
P,ppA,Prochlorococcus MED4,PMM0511,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,-2.11,0.0,significant_down
N,cynB,Prochlorococcus MED4,PMM0371,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,2.10887801596109,0.01,significant_up
N,ureB,Prochlorococcus MED4,PMM0964,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,2.1014755889527947,1.3632077421037737e-05,significant_up
P,phnD,Prochlorococcus MED4,PMM0673,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,-2.10017585893403,0.01,significant_down
N,cynA,Prochlorococcus MED4,PMM0370,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,2.09205468495687,3.06387677674992e-06,significant_up
P,phnD,Prochlorococcus MED4,PMM0673,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,-2.07831954956055,5.62211316693373e-06,significant_down
P,phoB,Prochlorococcus MED4,PMM0705,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,-2.06,0.01,significant_down
P,pstA,Prochlorococcus MED4,PMM0035,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,2.04,0.22,not_significant
P,pstA,Prochlorococcus MED4,PMM0724,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,-2.02215194702148,0.0007523751190131,significant_down
N,cynA,Prochlorococcus MED4,PMM0370,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,-1.98,0.09,not_significant
P,PsiP1,Prochlorococcus MED4,PMM1416,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,1.970895472990316,1.9916277893498282e-07,significant_up
N,ureD,Prochlorococcus MED4,PMM0966,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,-1.96,0.14,not_significant
N,cynB,Prochlorococcus MED4,PMM0371,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,1.92816297994649,0.01,significant_up
N,ureA,Prochlorococcus MED4,PMM0965,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,1.90550104081613,0.01,significant_up
P,PMM722,Prochlorococcus MED4,PMM0722,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,1.90406322479248,0.0052795165421452,significant_up
N,ntcA,Prochlorococcus MED4,PMM0246,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,1.86500326792399,0.0002207182174203,significant_up
N,ureC,Prochlorococcus MED4,PMM0963,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,1.85950660705567,3.38928784388999e-06,significant_up
N,ureG,Prochlorococcus MED4,PMM0969,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,-1.85,0.1,not_significant
N,ureG,Prochlorococcus MED4,PMM0969,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,1.85,0.05,significant_up
P,PMM721,Prochlorococcus MED4,PMM0721,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-1.830032697,1.0,not_significant
P,pstA,Prochlorococcus MED4,PMM0035,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,1.83,0.02,significant_up
N,ureC,Prochlorococcus MED4,PMM0963,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,1.82478745778402,3.57809822239236e-06,significant_up
N,ureB,Prochlorococcus MED4,PMM0964,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,-1.82,0.1,not_significant
P,ppA,Prochlorococcus MED4,PMM0494,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-1.812056001,1.0,not_significant
P,ppA,Prochlorococcus MED4,PMM0494,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,-1.78,0.03,significant_down
P,chrA,Prochlorococcus MED4,PMM0711,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-1.778909348,1.0,not_significant
P,pstS,Prochlorococcus MED4,PMM0710,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-1.77058709337761,0.01,significant_down
P,ppA,Prochlorococcus MED4,PMM0511,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,-1.76,0.01,significant_down
N,ureG,Prochlorococcus MED4,PMM0969,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,1.75,0.02,significant_up
P,phnC,Prochlorococcus MED4,PMM0672,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-1.739941182,1.0,not_significant
P,arsR,Prochlorococcus MED4,PMM0714,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,1.729525573,1.0,not_significant
N,ureE,Prochlorococcus MED4,PMM0967,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,1.72323067982992,0.0010265872982329,significant_up
P,sqdB,Prochlorococcus MED4,PMM1665,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,-1.72,0.0,significant_down
N,ntcA,Prochlorococcus MED4,PMM0246,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,1.71,0.26,not_significant
N,cynS,Prochlorococcus MED4,PMM0373,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,1.71,0.22,not_significant
N,cynS,Prochlorococcus MED4,PMM0373,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,1.698942439,1.0,not_significant
P,pstA,Prochlorococcus MED4,PMM0035,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,1.69639905167886,0.01,significant_up
P,ppA,Prochlorococcus MED4,PMM0494,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,-1.69,0.03,significant_down
N,ntcA,Prochlorococcus MED4,PMM0246,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,1.67965300850396,0.01,significant_up
P,PMM719,Prochlorococcus MED4,PMM0719,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,1.67708651285213,0.01,significant_up
P,ppX,Prochlorococcus MED4,PMM0457,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-1.674708518,1.0,not_significant
N,ureC,Prochlorococcus MED4,PMM0963,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,1.66,0.05,significant_up
P,ppA,Prochlorococcus MED4,PMM0511,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,-1.6441858873419906,1.0810395782801852e-08,significant_down
P,sqdB,Prochlorococcus MED4,PMM1665,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,-1.6283751166646971,5.639834897761834e-09,significant_down
P,arsR,Prochlorococcus MED4,PMM0714,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,1.61,0.27,not_significant
P,pstS,Prochlorococcus MED4,PMM0710,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-1.60397657407417,0.01,significant_down
N,ureA,Prochlorococcus MED4,PMM0965,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,1.60331058502197,0.0107429971839741,significant_up
P,ppA,Prochlorococcus MED4,PMM0494,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-1.58768542736678,0.01,significant_down
P,PMM721,Prochlorococcus MED4,PMM0721,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,1.58201122283936,0.0078510825942406,significant_up
N,ureE,Prochlorococcus MED4,PMM0967,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,1.57349395751953,0.0018340309398113,significant_up
N,cynD,Prochlorococcus MED4,PMM0372,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,1.57325267791748,0.0006064934109148,significant_up
N,ureA,Prochlorococcus MED4,PMM0965,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,-1.57,0.14,not_significant
P,phoA,Prochlorococcus MED4,PMM0708,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,12h,1.56,0.25,not_significant
P,ppA,Prochlorococcus MED4,PMM0494,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,-1.55640237967724,0.01,significant_down
N,cynD,Prochlorococcus MED4,PMM0372,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,1.53130361811556,0.01,significant_up
P,phoA,Prochlorococcus MED4,PMM0708,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,24h,1.52,0.13,not_significant
P,ppA,Prochlorococcus MED4,PMM0511,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-1.50360507545094,0.01,significant_down
N,ureA,Prochlorococcus MED4,PMM0965,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,1.5016806356999,0.01,significant_up
P,pstC,Prochlorococcus MED4,PMM0723,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,1.500045585361813,0.0001583806782874,significant_up
N,glnA,Prochlorococcus MED4,PMM0920,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,1.5,1.0,not_significant
P,PMM707,Prochlorococcus MED4,PMM0707,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,1.4979424572052362,3.5051260320291755e-08,significant_up
N,urtC,Prochlorococcus MED4,PMM0972,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,1.49678579966227,0.0016531803615837,significant_up
N,ureF,Prochlorococcus MED4,PMM0968,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,-1.49559766,1.0,not_significant
P,phnC,Prochlorococcus MED4,PMM0672,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-1.48466459,1.0,not_significant
N,cynD,Prochlorococcus MED4,PMM0372,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,1.46954583994354,0.01,significant_up
N,urtA,Prochlorococcus MED4,PMM0970,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,-1.44952583312988,1.19495319538646e-05,significant_down
P,PMM719,Prochlorococcus MED4,PMM0719,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,1.44434960683187,0.0024288920945619,significant_up
N,pipX,Prochlorococcus MED4,PMM0393,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,-1.440531926,1.0,not_significant
P,PMM721,Prochlorococcus MED4,PMM0721,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,1.4181845616632252,0.011797954092898,significant_up
P,pstA,Prochlorococcus MED4,PMM0035,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,1.41649447038967,0.01,significant_up
P,ppA,Prochlorococcus MED4,PMM0511,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,RNASEQ,3h,-1.4,1.0,not_significant
P,ppX,Prochlorococcus MED4,PMM0457,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,1.38199202219645,4.21331857598114e-05,significant_up
N,glnA,Prochlorococcus MED4,PMM0920,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,1.38018099466959,0.000453055859293,significant_up
N,ureC,Prochlorococcus MED4,PMM0963,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,1.3686487195269106,1.0856378755887778e-06,significant_up
P,chrA,Prochlorococcus MED4,PMM0711,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-1.366843566,1.0,not_significant
