n_or_p,gene_name_raw,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
N,amtB/amt1,Prochlorococcus MED4,PMM0263,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,0.055426249,1.0,not_significant
N,urtC,Prochlorococcus MED4,PMM0972,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.053365781,1.0,not_significant
N,urtE,Prochlorococcus MED4,PMM0974,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,48h,0.0483818,1.0,not_significant
N,ureE,Prochlorococcus MED4,PMM0967,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,24h,-0.047945795,1.0,not_significant
N,thiO,Prochlorococcus MED4,PMM0047,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,0.047666922,1.0,not_significant
P,sqdB,Prochlorococcus MED4,PMM1665,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,-0.0476274490356494,0.864087630746328,not_significant
P,PMM722,Prochlorococcus MED4,PMM0722,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.044842174,1.0,not_significant
N,ureE,Prochlorococcus MED4,PMM0967,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.043974497,1.0,not_significant
N,cynB,Prochlorococcus MED4,PMM0371,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,0.040455321,1.0,not_significant
P,pstC,Prochlorococcus MED4,PMM0723,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,-0.040407763,1.0,not_significant
P,pstS,Prochlorococcus MED4,PMM0710,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,0.039892458,1.0,not_significant
P,phoR,Prochlorococcus MED4,PMM0706,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,0.038662557,1.0,not_significant
N,ureC,Prochlorococcus MED4,PMM0963,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,0h,0.036989762,1.0,not_significant
N,glsF,Prochlorococcus MED4,PMM1512,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 89,0.03409544626872,0.887527485806396,not_significant
N,ureF,Prochlorococcus MED4,PMM0968,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.033327546,1.0,not_significant
P,phnE,Prochlorococcus MED4,PMM0671,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,-0.0290448204006992,0.9358312847188625,not_significant
P,PMM722,Prochlorococcus MED4,PMM0722,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,RNASEQ,day 14,0.0253221449039458,0.9320097489872556,not_significant
P,pstC,Prochlorococcus MED4,PMM0723,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,-0.0218585332234702,0.978301654109632,not_significant
N,urtE,Prochlorococcus MED4,PMM0974,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 31,0.0204480489095054,0.939217328026893,not_significant
P,acr3/arsB,Prochlorococcus MED4,PMM0716,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,0.019756746,1.0,not_significant
N,urtD,Prochlorococcus MED4,PMM0973,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,0.018974269,1.0,not_significant
N,ureC,Prochlorococcus MED4,PMM0963,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,12h,-0.018844327,1.0,not_significant
P,pstB,Prochlorococcus MED4,PMM0725,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.015363193,1.0,not_significant
N,glsF,Prochlorococcus MED4,PMM1512,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,3h,-0.008419423,1.0,not_significant
P,phoR,Prochlorococcus MED4,PMM0706,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,PROTEOMICS,day 14,0.0025955835978195,0.993957693286499,not_significant
N,ureE,Prochlorococcus MED4,PMM0967,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,MICROARRAY,6h,-6.04e-05,1.0,not_significant
N,nirA,Prochlorococcus MIT9313,PMT2239,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,4.98005526021024,0.01,significant_up
N,nirA,Prochlorococcus MIT9313,PMT2239,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,4.81638652566692,0.01,significant_up
N,nirA,Prochlorococcus MIT9313,PMT2239,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,4.33411106271989,0.01,significant_up
N,focA,Prochlorococcus MIT9313,PMT2240,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,4.27783732753636,0.01,significant_up
N,focA,Prochlorococcus MIT9313,PMT2240,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,24h,4.09551557219261,0.01,significant_up
N,urtA,Prochlorococcus MIT9313,PMT2229,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,4.04676729054706,0.01,significant_up
N,focA,Prochlorococcus MIT9313,PMT2240,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,6h,3.57381611829108,0.01,significant_up
N,ntcA,Prochlorococcus MIT9313,PMT1831,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,3.5581014323859,0.01,significant_up
