group,organism_name,locus_tag,experiment_id,omics_type,timepoint,log2fc,padj,expression_status
H1_N,Prochlorococcus MIT9313,PMT2232,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,0.00710968,1.0,not_significant
H1_N,Prochlorococcus MIT9313,PMT2226,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,12h,-0.006103848,1.0,not_significant
H1_N,Prochlorococcus MIT9313,PMT2226,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,3h,-0.003077707,1.0,not_significant
H1_N,Prochlorococcus MIT9313,PMT2239,10.1038/msb4100087_nitrogen_nitrogen_deprivation_mit9313_mit9313_microarray,MICROARRAY,0h,0.000214018,1.0,not_significant
H1_P,Prochlorococcus MED4,PMM0708,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,162.295,0.0,significant_up
H1_P,Prochlorococcus MED4,PMM1416,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,44.524,0.0,significant_up
H1_P,Prochlorococcus MED4,PMM0707,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,29.907,0.0,significant_up
H1_P,Prochlorococcus MED4,PMM0708,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,13.059,0.0,significant_up
H1_P,Prochlorococcus MED4,PMM0719,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,12.183,0.0,significant_up
H1_P,Prochlorococcus MED4,PMM0723,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,9.222,0.0,significant_up
H1_P,Prochlorococcus MED4,PMM1416,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,24h,9.086,0.0,significant_up
H1_P,Prochlorococcus MED4,PMM0724,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,8.034,0.0,significant_up
H1_P,Prochlorococcus MED4,PMM0705,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,5.298,0.0,significant_up
H1_P,Prochlorococcus MED4,PMM0713,10.1073/pnas.0601301103_phosphorus_phosphate_starvation_med4_microarray,MICROARRAY,48h,5.273,0.0001,significant_up
